VRP name,Latitude,Longitude,Associated Aerodrome,ICAO
COBBINSHAW RESERVOIR,554828.00N,0033400.00W,EDINBURGH,EGPH
COLERAINE,550754N,0064018W,LONDONDERRY/EGLINTON,EGAE
COLTISHALL DISUSED,524511N,0012119E,NORWICH,EGSH
COMBER,543303.00N,0054445.00W,BELFAST/CITY,EGAC
CONGLETON,530954.00N,0021051.00W,MANCHESTER,EGCC
CORBIERE LIGHTHOUSE,491047.00N,0021500.00W,"GUERNSEY, JERSEY","EGJB, EGJJ"
COWES,504541.27N,0011735.13W,SOUTHAMPTON,EGHI
CREDITON,504726N,0033905W,EXETER,EGTE
CULLOMPTON,505128N,0032338W,EXETER,EGTE
CULZEAN BAY/CASTLE,552210N,0044605W,PRESTWICK,EGPK
CUMNOCK,552720N,0041527W,PRESTWICK,EGPK
DALKEITH,555336.00N,0030406.00W,EDINBURGH,EGPH
DALMELLINGTON,551924N,0042350W,PRESTWICK,EGPK
DALRYMPLE,552350N,0043533W,PRESTWICK,EGPK
DANESHILL LAKES,532137N,0005607W,"DONCASTER SHEFFIELD, RETFORD/GAMSTON","EGCN, EGNE"
DEBDEN DISUSED,515931.05N,0001629.38E,LONDON STANSTED,EGSS
DERWENT RESERVOIR,545200N,0015848W,NEWCASTLE,EGNT
DEWSBURY (DBY),534130.00N,0013806.00W,LEEDS BRADFORD,EGNM
DIAMOND HANGAR (HANGAR 8),515240N,0001409E,LONDON STANSTED,EGSS
DINGWALL,573558N,0042553W,INVERNESS,EGPE
DIVIS,543627.00N,0060034.00W,BELFAST ALDERGROVE,EGAA
DOONFOOT,552625N,0043903W,PRESTWICK,EGPK
DORES,572255N,0041955W,INVERNESS,EGPE
DORKING,511337.00N,0002006.00W,LONDON GATWICK,EGKK
DOVESTONES RESERVOIRS,533215N,0015812W,MANCHESTER,EGCC
DRAYCOTE WATER,521934N,0011935W,COVENTRY,EGBE
DUMBARTON,555640.00N,0043406.00W,GLASGOW,EGPF
DUNCANSBY HEAD LIGHTHOUSE,583838N,0030131W,WICK,EGPC
DUNGIVEN,545542N,0065530W,LONDONDERRY/EGLINTON,EGAE
DURHAM,544626.00N,0013436.00W,NEWCASTLE,EGNT
EAST KILBRIDE,554550.00N,0041020.00W,GLASGOW,EGPF
EAST NAILSEA,512548.00N,0024406.00W,BRISTOL,EGGD
ECCUP RESERVOIR (ECP),535216.00N,0013236.00W,LEEDS BRADFORD,EGNM
ELSHAM WOLDS,533631N,0002541W,HUMBERSIDE,EGNJ
EPPING,514200.00N,0000640.00E,LONDON STANSTED,EGSS
ERSKINE BRIDGE,555513.00N,0042746.00W,GLASGOW,EGPF
EXMOUTH,503729N,0032408W,EXETER,EGTE
FARINGDON,513918.00N,0013512.00W,BRIZE NORTON (ENR 2.1),EGVN
FARMOOR RESERVOIR,514512.00N,0012124.00W,BRIZE NORTON (ENR 2.1),EGVN
FARNHAM CASTLE,511307N,0004808W,FARNBOROUGH,EGLF
FIDDLERS FERRY POWER STATION,532218.39N,0024116.03W,LIVERPOOL,EGGP
FLAT HOLM LIGHTHOUSE,512232.00N,0030707.00W,"CARDIFF, ST ATHAN","EGFF, EGSY"
FLEET POND,511719N,0004929W,FARNBOROUGH,EGLF
FLEETWOOD (GOLF COURSE),535508N,0030243W,BLACKPOOL,EGNH
FLINT BRIDGE,531346N,0030400W,HAWARDEN,EGNR
FOOT,590143N,0024823W,KIRKWALL,EGPA
FORT LE MARCHANT,493032.00N,0023107.00W,"GUERNSEY, JERSEY","EGJB, EGJJ"
FORTH ROAD BRIDGE (NORTH TOWER),560022N,0032414W,EDINBURGH,EGPH
FRANKLEY RESERVOIRS,522513.00N,0015955.00W,BIRMINGHAM,EGBB
FREMONT TV MAST,491506N,0020753W,"GUERNSEY, JERSEY","EGJB, EGJJ"
FRENSHAM GREAT POND,510916N,0004730W,FARNBOROUGH,EGLF
FRODSHAM HILL,531713.75N,0024329.27W,LIVERPOOL,EGGP
FUGLA,602657N,0011926W,SCATSTA,EGPM
GAINSBOROUGH,532334N,0004615W,"DONCASTER SHEFFIELD, RETFORD/GAMSTON","EGCN, EGNE"
GARSTANG MARINA,535419.50N,0024730.20W,WARTON,EGNO
GARSTON DOCKS,532109.96N,0025424.36W,LIVERPOOL,EGGP
GLENGORMLEY M2/J4,544050N,0055854W,BELFAST ALDERGROVE,EGAA
